id,pedido_id,produto_id,quantidade,preco_unitario
338,16,8,9,4.29
339,179,43,3,2.99
340,115,9,7,3.99
341,39,44,2,19.99
342,86,35,1,19.99
343,44,34,3,79.99
344,12,9,2,19.99
345,139,11,10,1.79
346,187,22,4,199.99
347,126,5,3,4.99
348,147,27,6,3.99
349,27,4,5,4.99
350,81,29,8,39.99
351,76,4,8,2.49
352,122,2,10,3.29
353,78,39,8,3.99
354,102,26,1,3.99
355,101,27,3,18.99
356,107,16,6,2.99
357,54,32,10,8.99
358,78,27,9,4.29
359,192,9,8,15.99
360,49,14,2,4.99
361,86,37,8,24.99
362,168,25,10,89.99
363,20,23,6,1.49
364,11,26,5,39.99
365,63,31,3,3.29
366,25,50,9,19.99
367,36,48,3,29.99
368,67,14,5,1.5
369,25,31,2,39.99
370,93,35,9,39.99
371,65,29,4,16.99
372,155,22,4,99.99
373,17,11,2,5.99
374,82,5,7,19.99
375,23,27,9,24.99
376,126,13,6,19.99
377,158,47,1,24.99
378,123,43,6,4.29
379,152,25,10,4.99
380,1,25,2,199.99
381,52,49,9,4.99
382,40,6,2,10.99
383,2,18,6,3.29
384,28,45,7,199.99
385,196,37,4,24.99
386,153,46,6,1.39
387,23,43,4,29.99
388,175,35,10,1.89
389,137,50,5,49.99
390,87,22,3,12.99
391,41,31,5,2.99
392,125,4,9,9.99
393,178,44,4,4.49
394,117,21,8,6.49
395,189,30,6,29.99
396,76,21,2,2.5
397,196,44,3,4.99
398,49,28,3,2.49
399,188,4,10,89.99
400,103,13,7,39.99
